[18:09:54] === session 2026-08-23 | cap 11ms pipe=0 ===
[18:09:55] [xiii-perf] present=1 captured=1 skipped=0 (cap 11ms pipe=0) | us avg/max: copy=2406/2406 lock=0/0 decode=1668/1668 submit=930/930
[18:10:00] [xiii-perf] present=151 captured=150 skipped=1 (cap 11ms pipe=0) | us avg/max: copy=2205/6029 lock=0/3 decode=1247/3636 submit=769/2706
[18:10:05] [xiii-perf] present=153 captured=150 skipped=3 (cap 11ms pipe=0) | us avg/max: copy=1518/5392 lock=0/1 decode=903/3049 submit=476/2464
[18:10:10] [xiii-perf] present=152 captured=149 skipped=3 (cap 11ms pipe=0) | us avg/max: copy=1580/6316 lock=0/9 decode=899/1991 submit=463/2506
[18:10:15] [xiii-perf] present=130 captured=127 skipped=3 (cap 11ms pipe=0) | us avg/max: copy=1894/4748 lock=0/1 decode=929/1262 submit=503/1770
[18:10:20] [xiii-perf] present=324 captured=309 skipped=15 (cap 11ms pipe=0) | us avg/max: copy=1554/5840 lock=0/1 decode=887/3720 submit=584/3211
[18:10:25] [xiii-perf] present=327 captured=307 skipped=20 (cap 11ms pipe=0) | us avg/max: copy=1484/5931 lock=0/10 decode=840/2701 submit=452/2354
[18:10:30] [xiii-perf] present=324 captured=305 skipped=19 (cap 11ms pipe=0) | us avg/max: copy=1442/5028 lock=0/1 decode=865/2803 submit=403/2004
[18:10:35] [xiii-perf] present=328 captured=307 skipped=21 (cap 11ms pipe=0) | us avg/max: copy=1547/5431 lock=0/5 decode=867/4355 submit=468/2357
[18:10:40] [xiii-perf] present=324 captured=307 skipped=17 (cap 11ms pipe=0) | us avg/max: copy=1326/5192 lock=0/3 decode=834/2585 submit=384/2445
[18:10:45] [xiii-perf] present=325 captured=309 skipped=16 (cap 11ms pipe=0) | us avg/max: copy=1695/14925 lock=0/11 decode=889/3207 submit=430/2047
[18:10:50] [xiii-perf] present=324 captured=301 skipped=23 (cap 11ms pipe=0) | us avg/max: copy=1570/5750 lock=0/10 decode=886/2746 submit=442/2867
[18:10:55] [xiii-perf] present=324 captured=302 skipped=22 (cap 11ms pipe=0) | us avg/max: copy=1613/6043 lock=0/3 decode=856/2553 submit=406/1495
[18:11:00] [xiii-perf] present=323 captured=303 skipped=20 (cap 11ms pipe=0) | us avg/max: copy=1591/6833 lock=0/223 decode=915/7958 submit=428/1181
[18:11:05] [xiii-perf] present=325 captured=306 skipped=19 (cap 11ms pipe=0) | us avg/max: copy=1636/6102 lock=0/62 decode=852/2614 submit=407/1979
[18:11:10] [xiii-perf] present=327 captured=302 skipped=25 (cap 11ms pipe=0) | us avg/max: copy=1564/5916 lock=0/22 decode=862/2735 submit=433/2971
[18:11:15] [xiii-perf] present=326 captured=305 skipped=21 (cap 11ms pipe=0) | us avg/max: copy=1621/6193 lock=0/18 decode=876/2259 submit=405/1443
